ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_AMOUNT,LINE_TOTAL
1,9567,3893,5,135014.01,18712.55,656357.5
2,8748,133,15,13348.76,0,200231.4
3,5060,1300,14,120442.16,106089.2,1580101.04
4,5006,3358,3,26523.93,0,79571.79
5,8666,1939,15,19334.71,0,290020.65
6,9000,4807,5,105676.43,38834.89,489547.26
7,5873,4510,8,79299.29,38796.96,595597.36
8,7197,4527,7,124772.45,113897.6,759509.55
9,10072,787,6,158027.55,112548.89,835616.41
10,6405,4233,7,27453.39,0,192173.73
11,7548,5078,11,84543.39,62585.8,867391.49
12,6706,5280,10,102744.0,118758.34,908681.66
13,8680,3938,11,53116.44,0,584280.84
14,8778,848,10,36088.7,34562.41,326324.59
15,6404,1694,10,132613.35,63784.64,1262348.86
16,7903,3003,9,151354.62,173927.81,1188263.77
17,6634,4571,9,5038.98,0,45350.82
18,10026,891,12,50755.61,15834.65,593232.67
19,8392,3838,11,4912.25,0,54034.75
20,5783,1287,2,146080.47,33640.72,258520.22
21,5201,359,6,109894.37,0,659366.22
22,7557,563,6,192407.71,61935.71,1092510.55
23,7738,3684,12,87363.44,47606.59,1000754.69
24,5258,4291,13,168288.72,0,2187753.36
25,9969,3986,10,88563.22,0,885632.2
26,6166,3607,15,175894.71,312302.86,2326117.79
27,6643,1787,10,32781.83,17308.8,310509.5
28,9925,3093,4,178160.76,48032.29,664610.75
29,8230,4115,15,5198.48,0,77977.2
30,9607,3504,2,136449.54,10586.46,262312.62
31,9137,3532,9,13287.13,0,119584.17
32,9400,3607,13,173051.24,0,2249666.12
33,7450,4290,3,176039.69,0,528119.07
34,6216,1499,15,104905.51,128457.12,1445125.53
35,5341,2306,6,88367.67,54256.73,475949.29
36,6995,1426,3,153311.93,0,459935.79
37,8138,3786,9,135003.8,56688.1,1158346.1
38,7955,4136,13,164370.54,0,2136817.02
39,9977,1845,5,191735.83,19432.14,939247.01
40,6922,2402,6,187129.43,0,1122776.58
41,10431,4716,6,80357.06,66464.96,415677.4
42,9370,4755,13,14008.55,0,182111.15
43,9231,267,9,160687.63,208751.15,1237437.52
44,10175,4959,3,115675.1,22205.72,324819.58
45,8959,1131,1,137125.74,20315.72,116810.02
46,9283,3932,1,23560.95,0,23560.95
47,7678,512,8,29316.58,31113.98,203418.66
48,5394,2327,6,154201.58,24934.38,900275.1
49,9981,4911,14,171505.37,0,2401075.18
50,7324,632,9,128206.24,153011.68,1000844.48
51,9984,318,10,2765.05,542.72,27107.78
52,7465,2386,7,141063.06,56110.83,931330.59
53,9785,1661,3,61580.22,9952.97,174787.69
54,8526,2193,6,145105.12,69317.2,801313.52
55,9741,2600,3,67635.3,23256.74,179649.16
56,8560,4829,11,7492.62,8468.25,73950.57
57,7034,2529,6,38284.13,19940.06,209764.72
58,9090,2171,9,100575.59,106040.88,799139.43
59,10053,2616,8,56182.0,30730.12,418725.88
60,5779,3807,7,193295.66,151663.67,1201405.95
61,8994,2114,3,166.71,60.61,439.52
62,6224,1934,11,113657.23,27920.49,1222309.04
63,6800,5245,11,161200.39,166328.83,1606875.46
64,10483,4487,5,141595.83,344.0,707635.15
65,7961,3659,7,118817.23,61569.58,770151.03
66,9640,3574,6,153915.08,21745.86,901744.62
67,7529,1572,11,175020.29,0,1925223.19
68,7049,4542,6,111308.6,7394.52,660457.08
69,9107,3463,5,85103.02,0,425515.1
70,5326,3635,1,138467.29,0,138467.29
71,6163,1196,4,148793.38,0,595173.52
72,7414,2177,15,39194.65,0,587919.75
73,7117,3202,5,36630.49,0,183152.45
74,7711,3386,6,122914.59,0,737487.54
75,6525,458,8,125435.95,0,1003487.6
76,5495,1063,14,194734.74,100966.69,2625319.67
77,8771,3278,5,56135.21,1936.98,278739.07
