ORDER_ID,CUSTOMER_ID,ORDER_DATE,SHIP_DATE,STATUS,TOTAL_AMOUNT,DISCOUNT_PCT,PAYMENT_METHOD,REGION,SALES_REP_ID
5001,2570,2025-08-19,,PENDING,191731.59,5.43,Debit Card,East,2033
5002,4629,2024-12-10,2024-12-11,DELIVERED,5482.18,0.0,COD,North,2039
5003,4373,2024-11-02,2024-11-12,DELIVERED,8541.94,0.0,Credit Card,West,2033
5004,3675,2023-06-20,2023-06-27,DELIVERED,49421.09,3.11,COD,West,2040
5005,1859,2025-11-04,2025-11-11,DELIVERED,20180.5,0.0,Wallet,West,2039
5006,6498,2024-04-04,2024-04-13,DELIVERED,198939.42,0.0,UPI,North,2008
5007,5903,2024-11-26,2024-12-05,DELIVERED,190240.26,5.54,Wallet,West,2042
5008,5362,2023-05-18,2023-05-19,DELIVERED,134267.47,0.0,Credit Card,West,2024
5009,2976,2025-09-16,2025-09-21,DELIVERED,41968.78,11.89,Credit Card,South,2028
5010,2371,2025-03-11,2025-03-16,DELIVERED,68709.98,0.0,Debit Card,West,2035
5011,5276,2024-12-04,2024-12-09,DELIVERED,169026.63,16.49,Debit Card,West,2030
5012,4670,2024-02-27,,PENDING,33693.88,0.9,Credit Card,West,2024
5013,1306,2025-11-18,2025-11-24,DELIVERED,86429.71,0.0,Debit Card,South,2042
5014,1296,2024-10-04,2024-10-06,DELIVERED,168233.0,9.34,COD,West,2017
5015,5871,2024-06-07,2024-06-10,SHIPPED,54231.28,19.33,Credit Card,East,2004
5016,6339,2025-09-18,,CANCELLED,24436.97,14.07,Wallet,West,2023
5017,4402,2025-12-13,2025-12-20,SHIPPED,204782.46,5.35,Net Banking,West,2038
5018,5592,2025-07-08,2025-07-12,DELIVERED,216717.01,16.84,Net Banking,East,2030
5019,2080,2023-09-28,2023-09-29,SHIPPED,48240.28,6.61,COD,South,2036
5020,5539,2025-10-17,,PENDING,235314.82,10.29,Debit Card,North,2013
5021,3111,2025-06-27,,CANCELLED,241406.89,0.0,Debit Card,South,2006
5022,2112,2023-11-30,2023-12-09,DELIVERED,14497.86,0.21,COD,West,2046
5023,1503,2024-02-14,2024-02-19,DELIVERED,130317.72,17.85,UPI,West,2013
5024,5105,2024-04-08,2024-04-14,DELIVERED,47398.7,0.0,Debit Card,East,2038
5025,4317,2024-10-11,2024-10-20,DELIVERED,169712.77,11.49,Net Banking,North,2021
5026,2283,2025-03-27,2025-04-03,DELIVERED,102661.73,7.35,Net Banking,North,2026
5027,1057,2023-01-23,,CANCELLED,219725.28,0.0,Debit Card,West,2020
5028,1360,2023-03-02,2023-03-09,DELIVERED,160424.2,0.0,Debit Card,East,2039
5029,3246,2024-06-30,,PENDING,238485.74,0.0,Debit Card,South,2031
5030,6418,2025-08-15,2025-08-24,SHIPPED,239545.81,0.0,COD,East,2006
5031,4597,2025-10-10,2025-10-17,DELIVERED,82291.94,10.76,Wallet,East,2027
5032,5815,2023-09-13,2023-09-20,DELIVERED,82433.95,0.0,UPI,South,2025
5033,5201,2023-05-04,2023-05-09,DELIVERED,81950.79,17.6,Credit Card,West,2003
5034,4078,2024-08-12,2024-08-15,DELIVERED,191745.45,1.7,Net Banking,East,2016
5035,2141,2024-01-07,2024-01-14,DELIVERED,109270.15,0.0,Wallet,East,2005
5036,5754,2025-08-17,2025-08-19,DELIVERED,246629.11,14.19,Debit Card,West,2027
5037,2961,2024-10-04,,PENDING,196747.28,0.05,COD,North,2048
5038,4894,2025-10-28,2025-11-04,DELIVERED,101986.05,0.0,Debit Card,South,2013
5039,2145,2024-03-01,2024-03-10,DELIVERED,60036.98,9.74,Wallet,South,2031
5040,1769,2023-06-28,2023-07-07,DELIVERED,170091.29,17.0,Wallet,West,2001
5041,3431,2024-12-24,2024-12-25,SHIPPED,151062.25,16.9,Debit Card,South,2042
