Transaction_ID,Customer_ID,Transaction_Date,Amount_Spent,Discount_Percentage,Quantity_Purchased,Shipping_Cost,Delivery_Date,Return_Date
1,417,2025-03-30,220.92,11.52,9,9.82,2025-04-02,
2,596,2025-04-15,914.99,8.82,1,45.92,2025-04-23,
3,124,2024-01-29,76.63,3.04,4,49.48,2024-02-02,2024-02-14 00:00:00
4,252,2026-04-18,0.0,5.14,9,33.23,2026-04-21,
5,487,2026-02-08,1972.42,2.3,1,42.77,2026-02-15,
6,599,2024-06-06,1861.8,-11.0,13,34.78,2024-06-08,2024-06-18 00:00:00
7,165,2025-05-28,1807.06,6.92,12,30.89,2025-06-03,
8,406,2023-08-30,793.85,15.0,13,33.64,2023-09-05,
9,191,2026-01-28,1103.44,0.89,2,44.16,2026-01-31,2026-02-13 00:00:00
10,392,2026-10-27,1512.78,2.63,11,11.37,2026-11-02,
11,345,2026-01-30,1357.16,-6.49,11,36.8,2026-02-01,
12,264,2024-08-04,935.21,-7.74,4,39.94,2024-08-09,
13,381,2025-02-16,548.01,0.56,5,23.53,2025-02-22,2025-03-02 00:00:00
14,600,2024-05-11,0.0,12.26,1,7.76,2024-05-13,2024-05-16 00:00:00
15,286,2025-11-12,1102.04,8.73,7,33.92,2025-11-16,2025-11-20 00:00:00
16,484,2025-02-08,558.86,3.71,10,33.82,2025-02-10,
17,447,2023-02-10,698.84,17.85,11,20.17,2023-02-14,2023-02-19 00:00:00
18,473,2025-06-23,0.0,-4.47,14,35.63,2025-06-28,
19,157,2023-08-28,309.39,14.9,1,15.76,2023-08-30,
20,149,2026-10-07,803.01,-8.12,2,31.38,2026-10-13,2026-10-25 00:00:00
21,422,2023-08-29,1917.19,12.22,1,18.09,2023-09-03,
22,555,2025-11-25,1430.84,16.38,10,41.89,2025-11-27,2025-12-06 00:00:00
23,178,2026-07-02,986.48,-3.23,12,26.09,2026-07-06,2026-07-11 00:00:00
24,411,2026-06-13,1347.59,-3.2,9,14.78,2026-06-18,2026-06-30 00:00:00
25,536,2024-08-05,1527.21,-4.32,6,23.38,2024-08-07,2024-08-16 00:00:00
26,393,2024-10-11,1435.79,14.38,11,6.73,2024-10-16,2024-10-31 00:00:00
27,197,2023-03-15,1200.49,4.52,7,15.92,2023-03-23,2023-04-07 00:00:00
28,123,2024-11-25,0.0,18.6,7,14.42,2024-11-27,
29,437,2025-04-11,1216.06,-14.11,5,19.63,2025-04-15,2025-04-18 00:00:00
30,314,2026-04-01,1551.33,11.73,7,43.11,2026-04-06,2026-04-13 00:00:00
31,113,2023-06-19,1881.55,-11.25,9,31.85,2023-06-26,2023-06-29 00:00:00
32,156,2026-03-10,634.48,2.89,12,7.0,2026-03-12,2026-03-15 00:00:00
33,343,2023-05-12,520.94,-3.71,5,11.36,2023-05-14,2023-05-23 00:00:00
34,163,2026-02-03,554.07,-3.78,12,20.36,2026-02-09,
35,160,2024-12-19,846.75,8.93,6,42.54,2024-12-26,2025-01-10 00:00:00
36,298,2026-05-04,812.62,-9.2,9,42.01,2026-05-09,2026-05-22 00:00:00
37,359,2026-11-29,731.4,8.5,9,20.11,2026-12-04,2026-12-14 00:00:00
38,271,2023-01-11,1855.05,12.26,4,24.84,2023-01-19,2023-01-29 00:00:00
39,181,2023-06-21,0.0,-4.45,1,42.04,2023-06-26,2023-07-07 00:00:00
40,504,2025-04-15,1159.94,15.64,8,37.16,2025-04-22,2025-04-26 00:00:00
41,200,2025-10-03,1364.26,14.08,9,27.14,2025-10-11,2025-10-17 00:00:00
42,215,2023-03-02,921.84,-7.16,10,7.23,2023-03-10,
43,452,2023-10-16,1108.56,11.49,4,42.4,2023-10-23,
44,560,2026-09-14,826.13,-10.43,6,38.16,2026-09-20,2026-10-05 00:00:00
45,365,2025-09-12,772.81,7.22,6,27.84,2025-09-16,2025-09-24 00:00:00
46,212,2023-05-27,652.79,-10.3,5,36.82,2023-06-04,2023-06-13 00:00:00
47,233,2026-07-28,744.59,-2.19,10,5.1,2026-07-30,
48,316,2024-10-09,788.4,3.92,10,33.69,2024-10-13,
49,448,2023-07-19,1808.09,-4.03,6,45.31,2023-07-24,
50,240,2024-09-14,592.65,-8.85,6,49.89,2024-09-16,2024-09-22 00:00:00
51,279,2026-12-14,919.21,5.28,13,14.1,2026-12-17,
52,121,2025-03-06,739.9,0.2,9,36.22,2025-03-12,2025-03-22 00:00:00
53,281,2024-10-12,1887.17,-8.01,8,12.28,2024-10-18,2024-10-31 00:00:00
54,150,2024-06-27,863.68,15.63,7,40.16,2024-07-03,
55,531,2026-05-17,0.0,5.66,14,17.35,2026-05-21,
56,177,2025-10-09,0.0,7.41,8,5.35,2025-10-16,2025-10-31 00:00:00
57,315,2023-01-08,779.53,-5.17,10,13.63,2023-01-10,2023-01-22 00:00:00
58,203,2026-11-26,1793.42,0.7,9,14.07,2026-12-01,2026-12-04 00:00:00
59,118,2023-09-03,1973.76,12.79,6,15.0,2023-09-06,2023-09-12 00:00:00
60,142,2023-03-06,617.52,-9.81,7,38.78,2023-03-13,2023-03-19 00:00:00
61,366,2026-02-10,1037.89,-13.44,9,48.56,2026-02-15,
62,394,2024-11-08,195.01,5.37,1,27.05,2024-11-14,2024-11-24 00:00:00
63,276,2024-01-15,58.51,11.04,12,10.92,2024-01-18,2024-01-25 00:00:00
64,308,2026-05-12,1008.62,12.71,3,15.86,2026-05-19,2026-06-01 00:00:00
65,441,2026-12-13,1418.6,10.27,2,10.9,2026-12-19,2026-12-23 00:00:00
66,524,2024-01-27,1077.78,12.87,6,37.3,2024-02-01,2024-02-15 00:00:00
67,567,2023-10-12,691.67,-10.94,3,49.05,2023-10-18,
68,354,2023-08-31,315.83,9.89,1,47.44,2023-09-07,2023-09-13 00:00:00
69,317,2025-01-19,120.38,3.19,11,6.69,2025-01-22,2025-01-29 00:00:00
70,468,2024-05-02,936.06,7.93,10,11.12,2024-05-05,
71,104,2023-03-24,1659.03,-8.78,12,25.44,2023-03-26,2023-03-29 00:00:00
72,447,2026-08-02,304.73,10.55,7,6.81,2026-08-07,
73,599,2025-03-25,1982.76,-7.02,11,35.92,2025-03-27,
74,432,2026-04-23,667.5,12.26,8,36.3,2026-04-29,2026-05-06 00:00:00
75,280,2023-08-23,275.02,1.02,12,7.22,2023-08-28,2023-08-31 00:00:00
76,116,2026-05-04,1421.38,-1.08,14,32.86,2026-05-11,
77,369,2023-11-02,480.68,-8.51,5,47.78,2023-11-06,2023-11-17 00:00:00
78,148,2024-07-31,1398.42,-11.66,2,28.65,2024-08-05,
79,280,2025-10-11,72.96,5.76,10,46.72,2025-10-17,2025-10-21 00:00:00
80,252,2026-02-08,1882.18,8.93,9,39.77,2026-02-14,2026-02-18 00:00:00
81,165,2025-07-18,403.69,19.89,4,24.42,2025-07-24,2025-07-28 00:00:00
82,454,2026-01-11,1908.39,2.41,3,30.56,2026-01-13,
83,195,2025-10-04,1134.5,-9.85,13,22.42,2025-10-11,
84,303,2024-12-31,0.0,9.96,14,38.93,2025-01-07,
85,333,2025-09-26,925.59,5.59,12,20.62,2025-10-01,
86,272,2025-08-26,1681.93,-0.17,3,31.73,2025-08-31,
87,538,2023-02-24,1298.37,-5.68,14,27.71,2023-03-04,
88,428,2025-09-23,1019.75,14.99,4,24.2,2025-09-27,2025-10-04 00:00:00
89,538,2025-09-07,0.0,5.46,11,47.8,2025-09-12,2025-09-20 00:00:00
90,165,2025-10-20,609.51,11.68,10,25.23,2025-10-26,
91,278,2023-05-01,0.0,12.45,5,30.76,2023-05-06,2023-05-19 00:00:00
92,342,2024-01-03,1675.08,14.83,2,44.1,2024-01-05,
93,361,2024-08-25,981.04,-0.02,3,27.1,2024-08-27,
94,252,2026-07-24,463.67,12.01,11,27.89,2026-07-29,2026-08-05 00:00:00
95,559,2023-08-02,185.45,11.2,4,40.24,2023-08-05,2023-08-16 00:00:00
96,281,2024-10-08,1316.1,-0.42,11,9.08,2024-10-10,2024-10-18 00:00:00
97,269,2024-07-26,86.77,-11.34,14,39.89,2024-07-31,2024-08-12 00:00:00
98,324,2025-10-04,751.1,-10.58,10,33.83,2025-10-11,
99,341,2024-09-01,672.52,12.21,5,22.43,2024-09-09,2024-09-23 00:00:00
100,463,2023-05-06,789.35,-6.15,3,30.31,2023-05-08,2023-05-11 00:00:00
101,268,2023-02-24,1536.38,-1.44,8,30.5,2023-03-02,2023-03-11 00:00:00
102,375,2026-06-22,1419.48,-10.06,9,40.77,2026-06-30,
103,495,2025-12-08,157.04,-14.04,2,24.51,2025-12-12,2025-12-15 00:00:00
104,501,2023-06-21,1907.71,4.81,5,29.82,2023-06-26,
105,190,2023-12-01,1054.08,-13.92,3,9.34,2023-12-03,2023-12-06 00:00:00
106,317,2026-10-03,281.94,2.86,12,41.59,2026-10-05,
107,423,2026-05-21,1941.38,2.73,1,18.05,2026-05-29,
108,447,2024-02-04,1522.94,-2.41,10,35.37,2024-02-11,2024-02-23 00:00:00
109,360,2023-09-19,1565.23,19.71,1,24.53,2023-09-26,2023-10-06 00:00:00
110,266,2023-07-12,359.9,18.67,8,5.62,2023-07-20,
111,425,2023-05-20,1543.33,18.8,6,41.55,2023-05-27,
112,116,2026-07-22,1490.17,-3.75,12,21.57,2026-07-28,2026-08-02 00:00:00
113,596,2023-03-20,628.55,-10.2,9,39.46,2023-03-28,2023-04-09 00:00:00
114,446,2024-08-24,1583.95,-3.71,1,42.59,2024-08-27,
115,269,2025-12-15,1006.02,1.05,2,28.96,2025-12-20,
116,443,2024-11-25,1881.72,-11.1,10,19.01,2024-11-29,2024-12-12 00:00:00
117,491,2026-06-30,818.42,18.27,3,42.64,2026-07-02,
118,357,2024-05-02,1019.34,-13.34,13,14.08,2024-05-09,2024-05-13 00:00:00
119,443,2023-12-07,1186.85,-10.52,5,45.02,2023-12-14,2023-12-17 00:00:00
120,318,2026-08-19,1804.31,6.52,11,43.23,2026-08-26,
121,447,2024-10-30,1336.73,5.12,2,35.4,2024-11-04,
122,354,2023-08-28,999.6,4.33,10,7.11,2023-09-01,
123,208,2026-11-17,1738.11,-11.54,4,9.94,2026-11-25,2026-12-03 00:00:00
124,526,2025-12-04,1685.13,-3.77,1,32.89,2025-12-12,2025-12-19 00:00:00
125,459,2023-05-02,832.3,12.97,4,13.74,2023-05-08,2023-05-18 00:00:00
126,374,2024-01-28,1802.58,-8.98,9,7.55,2024-02-04,
127,371,2024-12-30,1601.63,11.24,7,13.16,2025-01-03,
128,494,2026-02-21,1934.42,-2.62,5,9.63,2026-02-25,
129,496,2025-11-08,1455.72,14.31,3,26.98,2025-11-10,2025-11-25 00:00:00
130,128,2023-02-22,0.0,9.27,9,46.64,2023-03-02,
131,200,2025-09-07,1952.72,-9.25,8,40.32,2025-09-09,2025-09-13 00:00:00
132,115,2024-02-04,151.61,-9.18,6,5.74,2024-02-09,
133,578,2026-10-28,641.04,6.29,1,17.03,2026-11-03,
134,447,2024-03-21,676.15,-11.08,2,31.44,2024-03-28,
135,588,2024-02-26,1638.66,7.23,9,9.61,2024-03-02,2024-03-17 00:00:00
136,296,2025-04-10,1711.09,17.12,3,26.81,2025-04-16,2025-05-01 00:00:00
137,576,2024-09-22,1334.38,10.83,8,27.94,2024-09-27,2024-10-05 00:00:00
138,515,2026-08-13,0.0,-7.74,12,22.94,2026-08-17,2026-08-31 00:00:00
139,285,2025-10-06,1540.16,3.82,11,29.65,2025-10-12,
140,388,2024-12-20,493.65,-0.84,9,36.5,2024-12-26,2025-01-01 00:00:00
141,110,2023-03-14,408.14,9.5,12,46.41,2023-03-19,2023-03-26 00:00:00
142,557,2023-11-02,1250.18,17.09,11,25.26,2023-11-05,
143,228,2026-07-28,1582.39,6.91,6,12.4,2026-08-03,
144,324,2023-07-29,436.18,-0.46,5,43.99,2023-08-01,2023-08-15 00:00:00
145,362,2025-01-15,1499.62,4.95,13,25.29,2025-01-17,2025-02-01 00:00:00
146,506,2026-05-15,1204.86,11.05,9,27.15,2026-05-23,2026-06-06 00:00:00
147,357,2025-03-22,279.19,-10.0,12,45.57,2025-03-27,
148,449,2025-10-08,1911.18,13.07,14,43.27,2025-10-15,2025-10-24 00:00:00
