DESCRIPTION,CAMPAIGN,START_DAY,END_DAY
T00001,1,125,176
T00002,2,182,199
T00003,3,136,187
T00004,4,478,517
T00005,5,254,296
T00006,6,458,493
T00007,7,356,393
T00008,8,680,722
T00009,9,638,671
T00010,10,238,258
T00011,11,697,754
T00012,12,611,637
T00013,13,393,431
T00014,14,456,475
T00015,15,94,133
T00016,16,169,205
T00017,17,208,243
T00018,18,184,206
T00019,19,622,650
T00020,20,573,612
T00021,21,171,221
T00022,22,666,685
T00023,23,550,594
T00024,24,653,704
T00025,25,206,262
T00026,26,657,714
T00027,27,479,514
T00028,28,621,650
T00029,29,641,684
T00030,30,650,672
T00031,1,490,526
T00032,2,102,129
T00033,3,80,114
T00034,4,533,571
T00035,5,147,162
T00036,6,484,502
T00037,7,211,258
T00038,8,586,616
T00039,9,488,544
T00040,10,478,534
T00041,11,568,603
T00042,12,307,361
T00043,13,650,667
T00044,14,455,506
T00045,15,267,303
T00046,16,253,306
T00047,17,218,249
T00048,18,87,107
T00049,19,190,217
T00050,20,418,451
T00051,21,417,475
T00052,22,186,241
T00053,23,557,591
T00054,24,51,89
T00055,25,588,627
T00056,26,468,526
T00057,27,160,220
T00058,28,7,46
T00059,29,273,316
T00060,30,315,329
T00061,1,349,386
T00062,2,17,45
T00063,3,488,522
T00064,4,13,34
T00065,5,420,434
T00066,6,331,368
T00067,7,502,518
T00068,8,285,329
T00069,9,521,563
T00070,10,685,703
T00071,11,136,164
T00072,12,492,552
T00073,13,181,230
T00074,14,481,540
T00075,15,243,280
T00076,16,501,540
T00077,17,532,568
T00078,18,445,475
T00079,19,156,209
T00080,20,424,460
T00081,21,218,271
T00082,22,594,649
T00083,23,606,623
T00084,24,635,669
T00085,25,291,335
T00086,26,84,129
T00087,27,450,480
T00088,28,99,140
T00089,29,539,580
T00090,30,500,532
T00091,1,285,332
T00092,2,579,632
T00093,3,404,425
T00094,4,345,365
T00095,5,674,729
T00096,6,443,457
T00097,7,18,67
T00098,8,13,43
T00099,9,291,318
T00100,10,373,421
T00101,11,234,269
T00102,12,109,123
T00103,13,49,89
T00104,14,686,730
T00105,15,35,95
T00106,16,458,512
T00107,17,443,458
T00108,18,253,312
T00109,19,272,309
T00110,20,228,243
T00111,21,33,88
T00112,22,470,524
T00113,23,194,225
T00114,24,90,127
T00115,25,159,203
T00116,26,283,339
T00117,27,158,177
T00118,28,145,193
T00119,29,125,154
T00120,30,206,223
T00121,1,624,656
T00122,2,247,294
T00123,3,57,78
T00124,4,562,579
T00125,5,554,599
T00126,6,361,387
T00127,7,465,498
T00128,8,110,135
T00129,9,428,443
T00130,10,26,50
T00131,11,434,488
T00132,12,450,481
T00133,13,351,408
T00134,14,526,564
T00135,15,76,123
T00136,16,584,638
T00137,17,676,706
T00138,18,134,149
T00139,19,393,416
T00140,20,302,350
T00141,21,548,591
T00142,22,515,537
T00143,23,684,699
T00144,24,165,214
T00145,25,147,183
T00146,26,200,241
T00147,27,357,391
T00148,28,153,176
T00149,29,23,57
T00150,30,194,242
T00151,1,294,341
T00152,2,64,92
T00153,3,9,34
T00154,4,362,382
T00155,5,353,396
T00156,6,119,158
T00157,7,65,117
T00158,8,348,407
T00159,9,305,345
T00160,10,469,492
T00161,11,195,247
T00162,12,16,72
T00163,13,296,329
T00164,14,109,157
T00165,15,376,433
T00166,16,39,81
T00167,17,72,90
T00168,18,213,259
T00169,19,205,260
T00170,20,687,723
T00171,21,69,99
T00172,22,447,476
T00173,23,370,402
T00174,24,473,512
T00175,25,377,425
T00176,26,284,332
T00177,27,568,602
T00178,28,307,366
T00179,29,470,510
T00180,30,183,197
T00181,1,436,486
T00182,2,237,296
T00183,3,663,695
T00184,4,523,561
T00185,5,497,524
T00186,6,467,482
T00187,7,696,721
T00188,8,112,171
T00189,9,612,656
T00190,10,402,423
T00191,11,490,520
T00192,12,206,228
T00193,13,432,465
T00194,14,86,130
T00195,15,164,221
T00196,16,190,227
T00197,17,372,393
T00198,18,300,336
T00199,19,567,613
T00200,20,337,352
T00201,21,128,176
T00202,22,186,237
T00203,23,600,650
T00204,24,16,69
T00205,25,96,110
T00206,26,112,129
T00207,27,175,213
T00208,28,252,303
T00209,29,697,713
T00210,30,14,70
T00211,1,105,157
T00212,2,597,612
T00213,3,459,519
T00214,4,239,289
T00215,5,279,328
T00216,6,571,600
T00217,7,313,327
T00218,8,218,270
T00219,9,38,79
T00220,10,694,708
T00221,11,464,520
T00222,12,487,505
T00223,13,546,589
T00224,14,181,233
T00225,15,498,515
T00226,16,195,225
T00227,17,322,339
T00228,18,693,730
T00229,19,559,613
T00230,20,516,540
T00231,21,682,698
T00232,22,176,206
T00233,23,259,298
T00234,24,687,738
T00235,25,292,346
T00236,26,213,266
T00237,27,647,691
T00238,28,298,323
T00239,29,153,187
T00240,30,503,548
T00241,1,608,668
T00242,2,523,551
T00243,3,10,43
T00244,4,660,682
T00245,5,107,138
T00246,6,329,356
T00247,7,521,545
T00248,8,202,231
T00249,9,173,192
T00250,10,222,281
T00251,11,38,56
T00252,12,608,635
T00253,13,563,601
T00254,14,652,698
T00255,15,167,189
T00256,16,407,450
T00257,17,178,207
T00258,18,352,392
T00259,19,103,121
T00260,20,612,644
T00261,21,197,237
T00262,22,101,133
T00263,23,503,537
T00264,24,398,420
T00265,25,601,643
T00266,26,572,620
T00267,27,154,183
T00268,28,366,401
T00269,29,215,233
T00270,30,545,600
T00271,1,650,680
T00272,2,300,333
T00273,3,400,452
T00274,4,44,77
T00275,5,527,574
T00276,6,206,241
T00277,7,402,428
T00278,8,292,337
T00279,9,102,143
T00280,10,567,622
T00281,11,540,557
T00282,12,109,153
T00283,13,469,488
T00284,14,60,108
T00285,15,443,495
T00286,16,402,439
T00287,17,267,283
T00288,18,406,443
T00289,19,28,45
T00290,20,150,176
T00291,21,379,418
T00292,22,311,330
T00293,23,306,322
T00294,24,483,526
T00295,25,113,143
T00296,26,147,166
T00297,27,24,58
T00298,28,315,344
T00299,29,339,358
T00300,30,196,238
T00301,1,103,149
T00302,2,240,299
T00303,3,268,319
T00304,4,645,690
T00305,5,596,646
T00306,6,153,176
T00307,7,626,646
T00308,8,61,120
T00309,9,560,576
T00310,10,452,494
T00311,11,555,592
T00312,12,688,734
T00313,13,332,385
T00314,14,644,696
T00315,15,88,145
T00316,16,632,657
T00317,17,527,578
T00318,18,692,749
T00319,19,153,174
T00320,20,474,515
T00321,21,602,643
T00322,22,60,88
T00323,23,545,574
T00324,24,268,313
T00325,25,538,579
T00326,26,153,193
T00327,27,282,323
T00328,28,86,146
T00329,29,406,427
T00330,30,340,395
T00331,1,663,680
T00332,2,69,117
T00333,3,422,437
T00334,4,346,360
T00335,5,243,277
T00336,6,36,96
T00337,7,639,653
T00338,8,672,717
T00339,9,548,587
T00340,10,71,91
T00341,11,262,277
T00342,12,476,517
T00343,13,463,478
T00344,14,237,270
T00345,15,673,716
T00346,16,22,38
T00347,17,519,541
T00348,18,405,431
T00349,19,495,528
T00350,20,689,729
T00351,21,290,328
T00352,22,156,178
T00353,23,679,715
T00354,24,45,100
T00355,25,459,489
T00356,26,469,510
