DESCRIPTION,household_key,CAMPAIGN
T00024,608,24
T00009,5339,9
T00015,8960,15
T00025,9032,25
T00009,8060,9
T00004,4231,4
T00021,3442,21
T00012,1200,12
T00006,220,6
T00002,4565,2
T00028,5641,28
T00023,2030,23
T00011,8333,11
T00006,8966,6
T00010,3628,10
T00027,6422,27
T00011,7111,11
T00017,6062,17
T00024,8986,24
T00025,6367,25
T00020,7911,20
T00027,4207,27
T00009,3745,9
T00001,2459,1
T00015,8398,15
T00020,1591,20
T00003,7527,3
T00024,5048,24
T00011,7156,11
T00004,8492,4
T00011,1048,11
T00006,376,6
T00012,4293,12
T00002,4394,2
T00017,3241,17
T00025,5116,25
T00012,7585,12
T00014,8820,14
T00005,5631,5
T00010,1105,10
T00008,2769,8
T00003,4652,3
T00022,7015,22
T00002,7825,2
T00016,9214,16
T00028,1246,28
T00029,9188,29
T00027,4667,27
T00007,9880,7
T00023,3705,23
T00020,6040,20
T00027,7223,27
T00024,8973,24
T00028,4241,28
T00015,6710,15
T00028,5719,28
T00001,5575,1
T00010,8191,10
T00013,8123,13
T00009,4372,9
T00021,5516,21
T00007,1342,7
T00008,8196,8
T00026,6835,26
T00016,8526,16
T00005,3268,5
T00014,2917,14
T00030,8106,30
T00024,9208,24
T00009,2420,9
T00021,3322,21
T00027,7795,27
T00022,4852,22
T00002,5132,2
T00021,1481,21
T00016,1176,16
T00026,7194,26
T00012,7884,12
T00021,3815,21
T00006,2398,6
T00018,3163,18
T00014,1802,14
T00007,8532,7
T00004,5055,4
T00006,263,6
T00022,880,22
T00005,8951,5
T00016,3984,16
T00022,4664,22
T00024,88,24
T00007,6692,7
T00006,7923,6
T00021,5493,21
T00013,2540,13
T00019,5662,19
T00005,2100,5
T00024,4823,24
T00005,9789,5
T00008,2376,8
T00014,7522,14
T00009,5416,9
T00026,2502,26
T00028,837,28
T00017,2183,17
T00014,417,14
T00016,5702,16
T00020,8425,20
T00024,1736,24
T00015,3573,15
T00003,1615,3
T00014,420,14
T00029,1299,29
T00023,2092,23
T00010,235,10
T00025,3106,25
T00014,892,14
T00007,6878,7
T00001,8847,1
T00005,7706,5
T00017,1821,17
T00012,7277,12
T00023,5870,23
T00023,8589,23
T00009,9566,9
T00018,7791,18
T00012,5815,12
T00026,2615,26
T00017,1136,17
T00026,735,26
T00022,9564,22
T00007,1777,7
T00020,9890,20
T00021,3697,21
T00017,9455,17
T00013,3710,13
T00012,6093,12
T00006,3777,6
T00003,3732,3
T00008,5438,8
T00017,6871,17
T00006,6588,6
T00017,5678,17
T00001,3833,1
T00027,8815,27
T00011,146,11
T00029,4605,29
T00009,9090,9
T00013,802,13
T00004,782,4
T00003,6649,3
T00022,3367,22
T00005,959,5
T00001,786,1
T00010,2700,10
T00004,9610,4
T00021,8785,21
T00021,9324,21
T00007,9732,7
T00013,651,13
T00016,3173,16
T00007,1850,7
T00006,6028,6
T00014,6424,14
T00003,4334,3
T00029,2493,29
T00002,6296,2
T00005,1844,5
T00009,589,9
T00005,4400,5
T00019,9706,19
T00022,8487,22
T00027,8934,27
T00019,4088,19
T00028,4791,28
T00022,2063,22
T00004,8117,4
T00027,1864,27
T00022,1946,22
T00011,2072,11
T00005,3232,5
T00004,3007,4
T00018,4809,18
T00003,5990,3
T00021,3005,21
T00015,7855,15
T00013,5846,13
T00024,5885,24
T00026,9337,26
T00027,2972,27
T00012,4072,12
T00025,2537,25
T00027,4364,27
T00006,5200,6
T00028,4384,28
T00023,7283,23
T00012,9355,12
T00011,7732,11
T00013,2837,13
T00010,9486,10
T00006,9738,6
T00025,8908,25
T00020,6904,20
T00022,1732,22
T00017,7489,17
T00011,2734,11
T00017,9196,17
T00022,2948,22
T00017,2021,17
T00015,654,15
T00006,6995,6
T00005,4402,5
T00011,8898,11
T00012,2103,12
T00005,4831,5
T00027,3710,27
T00003,7085,3
T00028,7343,28
T00005,856,5
T00018,3766,18
T00024,9088,24
T00017,8487,17
T00010,7035,10
T00003,333,3
T00017,6685,17
T00006,3006,6
T00014,5252,14
T00020,1297,20
T00020,4614,20
T00001,6811,1
T00029,7153,29
T00020,4216,20
T00005,5351,5
T00029,519,29
T00028,6017,28
T00011,6227,11
T00022,2494,22
T00019,7347,19
T00011,6086,11
T00019,3742,19
T00007,9088,7
T00009,1894,9
T00019,7134,19
T00006,1863,6
T00030,9961,30
T00017,5668,17
T00024,1960,24
T00011,6112,11
T00021,3100,21
T00018,8414,18
T00010,7074,10
T00019,7396,19
T00012,3909,12
T00017,4805,17
T00015,3584,15
T00013,5585,13
T00019,2808,19
T00016,7052,16
T00014,1043,14
T00004,3304,4
T00004,7842,4
T00013,1988,13
T00027,5397,27
T00024,8210,24
T00024,6843,24
T00012,40,12
T00029,4464,29
T00023,8272,23
T00030,7693,30
T00002,9117,2
T00015,2659,15
T00030,8572,30
T00021,4676,21
T00002,1993,2
T00001,7155,1
T00015,6423,15
T00009,5749,9
T00022,4498,22
T00002,5867,2
T00014,726,14
T00030,2693,30
T00028,956,28
T00030,1035,30
T00017,7247,17
T00007,2506,7
T00029,8823,29
T00027,5459,27
T00024,6515,24
T00011,9133,11
T00021,1021,21
T00021,9984,21
T00002,5738,2
T00025,3879,25
T00017,249,17
T00012,3640,12
T00009,6878,9
T00011,466,11
T00025,3313,25
T00005,4796,5
T00023,391,23
T00028,3386,28
T00001,7780,1
T00001,3704,1
T00002,9078,2
T00017,5539,17
T00021,4488,21
T00024,3037,24
T00008,5078,8
T00025,8484,25
T00020,8624,20
T00007,7723,7
T00030,6762,30
T00025,3877,25
T00017,9640,17
T00011,6845,11
T00002,8450,2
T00020,8040,20
T00021,3082,21
T00023,6510,23
T00011,4787,11
T00030,8005,30
T00015,4106,15
T00014,975,14
T00003,1381,3
T00021,538,21
T00018,4377,18
T00029,3095,29
T00020,9551,20
T00002,1387,2
T00014,4066,14
T00012,8490,12
T00016,5776,16
T00004,4196,4
T00013,330,13
T00002,2296,2
T00011,3318,11
T00001,207,1
T00020,5920,20
T00027,8446,27
T00021,4641,21
T00002,3952,2
T00021,4377,21
T00010,9460,10
T00024,1118,24
T00024,9340,24
T00012,4220,12
T00001,1894,1
T00030,7393,30
T00015,4802,15
T00020,5874,20
T00001,3138,1
T00011,4477,11
T00009,2053,9
T00011,3663,11
T00024,868,24
T00011,8518,11
T00024,1533,24
T00007,5325,7
T00012,1813,12
T00030,2948,30
T00028,6786,28
T00026,4519,26
T00001,422,1
T00018,9784,18
T00024,3312,24
T00018,7304,18
T00012,5273,12
T00020,8970,20
T00021,6525,21
T00030,8884,30
T00027,997,27
T00013,6651,13
T00014,4520,14
T00007,494,7
T00014,7367,14
T00007,8462,7
T00016,5141,16
T00002,2437,2
T00016,8949,16
T00015,3161,15
T00028,6379,28
T00006,1559,6
T00018,4846,18
T00017,1162,17
