COUPON_UPC,PRODUCT_ID,CAMPAIGN
55267433,949165,20
51581279,515618,13
94235390,796084,4
52573335,821335,11
30767749,959586,8
94567444,346540,10
26236888,661649,8
40265287,535620,27
60374463,887715,16
86117497,708021,19
74434149,412637,22
94673071,866160,2
27252354,339203,21
69657564,821705,26
53406644,277357,21
80079397,226358,11
12291972,556643,25
38612535,384150,15
30067872,854534,28
16392987,158892,12
39823614,276132,3
88950414,810691,17
66426749,162399,16
87644268,953048,30
16254559,291455,19
58438040,778441,26
90271475,437186,11
22164878,903390,26
25896564,749301,19
68229000,530529,29
93816925,163302,21
15197634,202632,20
30884277,452783,15
52536231,562888,8
18333778,383631,25
15209186,596153,2
16533167,698556,20
84278001,553090,1
14521754,548175,16
26319368,276869,16
35931684,298469,14
83833821,251139,20
55696847,362199,6
73655416,900549,23
45458636,433779,8
18185753,959878,11
14131238,283304,25
67005208,525456,27
65129571,488720,19
39762838,186937,9
93853386,259397,27
58738422,226177,9
51856713,228699,8
33796598,412750,16
20587867,816556,10
65586372,789267,30
13420402,780575,7
18609287,984102,6
71931096,436700,4
75762009,599083,25
74816997,364805,6
39524631,806471,7
76395295,769811,17
56880420,428521,26
34160765,401806,30
89145383,384878,1
14182604,934966,1
27374436,684327,20
64676382,809397,2
97979219,153921,13
40971304,780575,27
68798020,166712,21
42497652,375398,15
14429153,975399,13
66919352,830858,9
54697514,247435,2
62064941,230571,1
65900141,424040,16
28735827,680967,26
20792923,913990,18
72393367,461298,27
99015394,492098,18
18350781,747129,1
46944261,714173,18
72423872,937670,5
75658381,654531,9
57766517,689552,22
83404565,847942,3
22399329,921076,22
70711523,617360,23
38243189,471509,5
75061597,489302,21
35525548,886968,5
73823726,343735,22
45419260,256812,7
39688569,187497,6
57312403,172409,14
45811245,115087,9
89319571,668692,6
68895809,212911,2
24201793,442065,24
31157405,873014,24
93018299,564584,11
15723357,970692,15
25518247,812014,25
22514688,524808,29
61027874,798418,19
80779625,971113,23
47725561,295568,13
45038746,261293,27
20552692,870763,10
50489799,891583,17
70479693,944350,4
71727603,440417,14
67448511,151128,30
11945531,933915,22
96567048,181046,27
58839835,351187,28
73523078,106974,16
20446222,878499,19
94913352,235631,2
30210776,969284,25
92213636,405781,13
84755521,406516,30
11881485,359982,28
65215070,627832,4
96863082,947965,12
63895925,314774,27
72852362,553700,16
42023418,811531,29
45235615,183312,12
64353530,790355,19
90987576,625510,21
12861273,874192,15
67298155,320104,10
28019013,855777,25
81820798,484054,3
92972640,201706,17
73488751,444080,27
54500151,863509,10
84726555,999500,3
30451100,686988,6
65903085,537628,15
44662304,920268,15
76156620,185974,7
75085426,476342,5
54800053,916091,18
55865088,424976,9
14038812,847205,6
96699193,398862,7
56946753,868948,11
85408800,235496,25
74063453,683541,21
19217126,659674,7
30023466,139189,11
38055698,291735,17
23856020,135065,3
83231885,260412,10
78427731,608298,20
20944045,321250,26
54058816,951166,25
34440130,607925,4
48825504,889926,14
74502877,546197,1
21738366,506381,12
54135971,332121,16
64755388,743874,6
26921279,519059,30
68110959,976018,21
44143057,493181,18
37892292,937019,29
89537660,770381,2
39464401,889322,23
73835115,668496,14
51165955,547048,24
16514233,373200,2
24329991,181791,5
54203330,565270,24
73937331,305425,20
21084729,472028,30
20766564,575519,28
26953954,204147,30
66994402,905975,26
65936003,507955,28
49561817,995878,16
35900293,309553,6
71134672,693398,22
97331023,394182,25
67861985,390623,16
29098562,831146,6
58666443,915155,23
31952645,786333,25
26978515,571550,7
25494736,604538,14
23596992,884000,21
42040717,284537,28
88451424,493497,22
26798466,732652,19
73120141,606614,5
40980848,429701,22
21438339,186275,10
62351025,710890,30
31188392,990107,15
90830050,121109,24
96608436,756063,11
87374547,242106,27
99626860,258296,13
84358874,984944,3
58299691,307484,5
24596032,305472,7
68833658,457991,14
14349718,107965,24
92985902,413534,15
51944765,900680,24
78325471,216581,6
79104597,386533,14
27015108,962294,20
17061340,749059,12
33752423,515648,8
89046697,441031,14
24590534,313894,22
54357879,453243,9
20170377,783185,10
10927109,494592,27
42237618,601094,1
21312667,308322,12
83849896,961449,4
61765472,874192,2
97919302,551013,12
39546236,299454,14
76965368,895846,22
94562245,663574,19
53412033,205122,9
52616140,254507,19
92880747,442039,5
34940668,961745,4
47348913,735487,20
20021367,104669,4
83093405,401806,9
67603759,587337,30
97799596,962419,3
20344566,137693,9
23055257,185773,15
55272258,400539,5
72203735,503179,11
96516724,745060,21
33333289,851917,25
51012193,999624,11
78616657,484054,7
89406851,369922,24
17480037,805034,13
22612140,428206,14
11355550,561464,30
98740239,691137,20
95218494,916070,20
47195984,608020,16
44678909,541885,15
85018129,817901,5
37301258,917961,22
90130944,169679,15
38922126,717424,19
71995114,667262,4
82999690,701529,5
95106602,814685,8
78788687,755509,2
19645923,588330,25
31093911,458991,8
35130891,583647,18
38113024,906362,7
43567771,879838,4
91812687,556394,5
28124490,886265,25
13740563,529697,14
63679123,846468,7
84789104,955360,27
38828335,222685,8
47453448,176425,25
62457332,420829,5
59898819,199322,20
47712558,999014,12
88747033,248125,14
21174100,649275,4
65839798,712932,24
10402185,826233,14
18822372,448739,27
20165153,156094,23
59051622,732366,20
40816057,729489,18
55328579,419231,20
44237574,991826,29
65897904,219537,3
59896056,838087,8
81112582,578073,22
88679846,828310,11
63701504,862586,24
92900528,603739,25
24518484,455284,12
27260906,555036,23
50214876,378555,28
45002010,677361,13
41258915,478513,21
72988747,418921,4
37178344,415193,24
33300462,592974,14
17166499,434625,13
18785917,732513,6
91012152,747802,4
44625933,611038,21
46584170,704370,17
45612772,621744,17
37273446,686988,2
48128466,932036,28
46022958,550048,21
44849268,356289,16
65301955,901075,16
20737491,705941,17
68057635,469345,30
93410123,116176,10
28093607,311161,22
37805490,603606,3
49094592,593802,3
64614557,161046,23
63505500,182911,20
73572008,750666,11
74703959,486212,15
12813525,224527,9
55036493,227235,3
97937506,916515,28
78336177,826448,8
86981864,632629,3
26793799,759149,21
62747351,230594,8
80232806,528252,4
49890948,886074,1
82411335,481416,1
77273650,697982,26
63080518,957714,9
79049326,460043,27
30335776,371726,14
73853323,412849,7
27494818,855501,7
99648938,594181,6
38620434,176444,11
83643448,341427,23
21902571,320104,13
57295760,222823,18
38454013,699562,25
70215708,355336,8
59219599,930632,7
81861551,668583,15
78366403,919850,18
74202927,429602,25
22230462,356288,20
35449439,390486,6
18620692,898661,22
83653862,957751,17
31682420,819008,9
34236266,477722,9
27932269,139625,24
30482505,677545,19
37790689,452838,6
32134518,335886,11
92553604,977143,28
67719109,556491,1
40813425,210431,24
55811391,372536,16
42249057,165483,7
99630927,816609,22
59095783,514658,5
96148611,643704,21
32061476,372937,1
60838443,949863,1
59627335,322874,25
69477894,534612,9
24772747,193390,20
43912310,926956,4
64530616,792797,1
97853317,350746,7
54750866,401941,18
80952293,817381,17
73636607,751889,6
12096284,770927,29
35952760,324981,1
72949232,996796,16
61188784,284990,15
74878488,919102,24
48353970,110632,29
26725327,444561,24
28805014,124621,7
45997518,317910,28
25054043,436126,25
13421186,357623,28
36398714,667950,26
23129164,632781,6
63168447,444080,14
46979799,893932,12
14099957,458158,6
11017811,669379,29
90245540,991425,26
18761316,866160,6
16005131,661718,20
87386709,479596,12
63032805,627432,28
40704489,556416,14
18887816,289904,10
27971638,404156,19
87649752,906802,17
51895388,868348,4
39660970,687207,9
