household_key,DAY,COUPON_UPC,CAMPAIGN
3857,441,10522670,1
4264,188,19429624,6
4768,84,87817296,11
268,567,53978843,6
7255,341,92503489,16
2735,557,55700144,27
5189,476,61163118,6
8589,535,28476495,22
9831,473,28904189,27
5317,558,23629336,27
1697,387,56479297,20
2130,426,22485210,24
7779,498,67545229,20
618,281,51302865,24
5280,393,96436126,6
7449,181,26793799,7
1114,552,68612492,1
1033,492,38826965,24
2675,331,62747351,1
1368,453,13681608,6
3634,369,19805349,25
3568,531,25876198,5
6324,148,44017808,7
8806,402,46349456,12
129,645,22626094,13
1543,492,51801306,13
638,515,19133698,13
99,494,59240466,16
6036,86,17798608,20
5587,289,10228393,8
7469,592,59674862,2
5306,186,26827822,10
8896,460,43465735,14
5486,9,66644141,14
5290,443,76668802,18
7168,675,36291017,19
2461,629,40990736,16
704,249,72272002,5
6644,275,16950088,10
568,663,89795385,8
389,76,23508590,19
8337,70,51178625,23
935,618,37528157,5
8215,183,75282754,5
5621,272,87990955,20
2799,496,94861091,26
8392,573,31484716,27
5616,23,55349096,2
5141,180,89537660,4
4956,20,70963196,25
2005,552,73817501,27
8804,676,79973093,27
7931,652,42144235,1
2406,88,72022091,8
233,466,14521517,20
208,379,32053096,2
5482,324,70259031,27
8926,522,77814869,26
3201,629,90685151,5
5368,573,53954805,26
6655,431,92370299,21
6273,206,35617673,10
299,412,85697221,11
7794,255,19837761,8
6704,433,20850822,25
8224,383,97974956,21
2352,622,25236932,9
3867,423,52347159,23
3916,524,30403477,9
6923,450,80708782,4
5255,127,27451351,1
1318,23,69779579,17
6225,406,47481709,9
6904,595,99732248,6
6901,711,79285590,28
9588,598,23561291,10
669,10,66181560,9
4327,481,99730602,14
3799,252,64401567,28
8069,31,72727195,2
1008,259,48391464,13
3899,543,39354489,4
49,509,17974911,24
6787,134,79050442,27
2725,412,98014018,24
1807,28,36732061,9
3780,254,77574329,20
7981,340,20276648,26
8751,366,31740566,12
1898,608,93330388,29
2547,18,87386709,28
8773,337,15775023,15
4831,121,68015939,29
7914,9,90009731,26
4536,600,32061476,11
6727,375,84614473,7
1770,368,12971509,28
9063,53,86628687,20
496,233,13521576,15
3458,521,65067212,22
7885,35,65346617,28
3628,31,20008692,23
2278,589,22140757,2
6672,295,87259756,5
7297,321,43975447,19
352,359,51781612,11
660,4,47054093,16
4389,144,10925123,3
8323,90,22740259,4
5804,391,64149534,29
7763,182,79006542,2
6228,14,28783818,27
560,320,40819301,30
3634,200,28354164,8
8855,280,63505500,19
1304,458,73077330,27
9620,260,53251213,24
2309,402,50116232,21
8543,631,20021367,30
9212,431,92346777,20
1576,61,93301793,19
6873,31,72050054,1
6022,381,32579426,22
6775,710,59888841,2
5559,321,26582861,26
7017,492,57912940,27
8534,679,64208535,6
8450,143,86216047,14
8904,386,99433243,17
3269,482,46484351,28
8637,255,44440825,29
4793,191,35655764,25
3299,168,49946722,9
1627,315,65043291,10
6692,517,96772834,18
8097,639,36498256,2
7724,528,59670845,8
6627,485,92955808,29
6209,469,63191899,1
3281,584,54756121,2
4838,120,72505793,23
898,565,93458151,22
3785,618,27387054,15
5423,511,35952760,18
1566,621,56534343,3
4198,229,94108793,17
7195,281,15219475,22
4017,219,65441510,8
1269,442,27563829,23
596,533,11271275,3
3868,693,43078753,1
6771,561,14995077,9
3751,673,89901829,22
5894,682,73200645,12
4993,367,21763612,25
6216,616,50774673,1
8086,344,40885192,24
3784,321,76350342,10
1823,147,38148475,6
2151,604,48226238,20
3134,566,87315578,23
2412,62,46599113,27
3863,246,38545431,6
3653,571,47353150,21
6034,148,24091397,28
9894,105,46003909,7
6470,573,11609976,6
6139,284,50446215,21
5145,572,59514993,22
8088,226,53406644,13
1634,309,73737118,10
244,331,40610732,30
6662,141,28020461,28
484,46,11394331,20
1620,178,59402110,23
5639,10,99021363,16
5475,245,40573254,29
798,173,34698357,28
6700,151,76014865,22
8694,696,59173099,8
1471,653,13951617,28
5546,574,66340596,27
1533,199,98297182,30
5468,465,95352546,27
1427,474,80591463,15
7860,102,13972414,24
5303,383,99377671,1
5548,106,97352190,8
843,214,15741469,6
1065,120,47609739,8
8285,116,39736459,26
7430,680,73176874,14
4070,570,67711529,19
8957,122,74832129,6
5606,110,38790263,1
2882,448,60308295,22
7851,596,90149521,7
2955,276,15562122,7
9291,37,96748018,2
7694,649,62351025,20
4610,388,24800912,13
9653,105,31321682,25
6563,58,18475409,8
1942,189,46375314,3
2077,261,69674738,26
1849,250,14832824,12
901,198,16465713,13
8194,707,43247291,3
5442,109,41383078,17
4845,508,63084638,15
4135,424,64018060,2
8186,34,47940002,27
3894,584,20344566,29
6377,59,12788862,11
162,627,96517717,24
4526,599,98309416,2
1746,21,20224842,17
223,599,64921908,22
7776,34,20980432,18
7685,510,78366403,26
6598,476,91955936,10
175,145,96793439,7
5013,607,88582085,22
8262,566,66849008,23
1821,654,41107136,19
7110,430,32869834,14
4363,213,82037812,26
5605,95,78949408,21
7016,479,45944313,23
8267,84,27115389,18
5672,142,74636023,12
7927,482,84335171,8
3889,390,86199832,20
5771,468,21174100,22
1305,264,83019704,9
1968,519,30476261,24
3017,178,35702180,5
3548,517,75046469,29
6525,80,59498710,11
6356,488,43857819,11
3417,674,99265772,12
1102,691,23276620,26
2487,253,34907849,28
8630,15,28783818,24
9690,127,44156082,15
6634,185,35913673,1
4972,666,54155544,6
5492,433,26776817,14
6900,628,43547857,5
805,387,41376162,24
5102,73,73631118,17
7464,32,80460005,29
2671,65,20170377,16
490,532,62953236,18
8166,414,78394237,20
4089,635,46880331,24
5056,85,57254276,6
1118,410,14567191,18
2492,370,71412525,14
2553,321,85052912,18
7572,158,16445550,20
9221,505,88570237,13
7626,399,41681346,9
1094,431,89552553,18
9862,60,16555458,4
8458,194,13178194,29
1164,683,42647739,22
5332,478,18923387,27
8331,78,14451455,30
7445,291,58110322,2
3071,205,92863956,17
3620,692,48063562,14
7963,51,34096032,12
6875,428,65484187,5
7833,94,89298081,22
2695,605,89319571,18
6425,273,73255440,4
2804,382,28756849,12
3803,47,95324741,22
933,117,71727603,21
1233,339,30696299,11
4167,635,66959304,26
6568,533,51834106,17
9106,332,85421464,25
9045,264,42474430,18
7041,152,51801306,17
5387,648,24267355,30
6895,358,36328042,3
8442,87,52276634,4
4842,243,53508125,5
8129,706,76156620,4
7655,637,53283493,29
1630,683,44678571,26
5888,4,74019339,10
5001,60,67469121,22
1234,236,89997729,6
390,642,81178040,3
8992,504,99115417,24
4804,344,64676382,18
3816,546,62015425,19
9234,330,98623681,11
2536,391,80591698,25
289,512,66972073,19
4147,692,34439558,22
8904,682,34838982,27
7478,176,18171266,11
9049,645,47378123,9
9713,54,14540395,26
7165,359,78476587,13
9638,76,51843946,26
3647,551,29714497,11
7274,596,40870496,23
2656,10,77880434,3
7016,673,86405972,28
9445,226,57168152,7
2302,204,82947079,18
2208,120,14718709,3
8744,360,23298319,8
8535,236,52918825,1
3168,426,65685659,3
2541,259,36340737,23
