AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
45-54,A,35-49K,Renter,2 Adults Kids,4,3+,1
19-24,B,Under 15K,Renter,2 Adults No Kids,1,None/Unknown,2
45-54,B,25-34K,Unknown,2 Adults Kids,1,3+,3
55-64,B,15-24K,Probable Owner,1 Adult Kids,1,None/Unknown,4
65+,B,175-199K,Probable Renter,2 Adults No Kids,5+,1,5
45-54,U,125-149K,Probable Owner,2 Adults No Kids,4,None/Unknown,6
25-34,A,Under 15K,Renter,Single Male,2,2,7
35-44,B,25-34K,Renter,Unknown,4,2,8
25-34,U,15-24K,Renter,Unknown,4,2,9
55-64,U,175-199K,Renter,Single Male,2,1,10
25-34,U,200-249K,Renter,2 Adults No Kids,2,3+,11
35-44,A,25-34K,Unknown,Single Female,3,3+,12
35-44,A,250K+,Unknown,Single Male,1,None/Unknown,13
45-54,U,75-99K,Homeowner,1 Adult Kids,5+,2,14
65+,U,Under 15K,Probable Renter,2 Adults Kids,3,1,15
45-54,A,75-99K,Unknown,Unknown,5+,1,16
45-54,A,200-249K,Probable Owner,Single Female,4,2,17
19-24,U,100-124K,Probable Renter,2 Adults No Kids,1,1,18
19-24,U,200-249K,Probable Owner,Single Female,1,3+,19
65+,A,75-99K,Homeowner,2 Adults Kids,4,None/Unknown,20
35-44,B,35-49K,Probable Owner,1 Adult Kids,2,2,21
55-64,A,35-49K,Probable Owner,2 Adults No Kids,3,2,22
19-24,A,50-74K,Unknown,Single Female,2,None/Unknown,23
45-54,A,200-249K,Probable Owner,Single Male,2,2,24
25-34,A,250K+,Unknown,1 Adult Kids,4,3+,25
25-34,A,75-99K,Unknown,1 Adult Kids,4,2,26
65+,A,50-74K,Renter,Unknown,2,None/Unknown,27
35-44,B,35-49K,Renter,Unknown,3,3+,28
45-54,A,250K+,Probable Owner,Unknown,5+,3+,29
19-24,B,25-34K,Unknown,Single Male,2,3+,30
25-34,U,75-99K,Unknown,Unknown,5+,2,31
55-64,A,35-49K,Probable Owner,2 Adults No Kids,3,2,32
19-24,B,100-124K,Probable Owner,Single Male,5+,None/Unknown,33
25-34,B,150-174K,Renter,Single Male,5+,None/Unknown,34
45-54,B,75-99K,Unknown,2 Adults No Kids,5+,None/Unknown,35
55-64,A,50-74K,Probable Renter,Single Female,2,3+,36
19-24,B,250K+,Probable Owner,Single Male,2,1,37
65+,U,200-249K,Renter,Single Male,5+,2,38
45-54,U,125-149K,Homeowner,2 Adults Kids,2,2,39
65+,A,15-24K,Homeowner,2 Adults No Kids,2,2,40
55-64,A,125-149K,Renter,1 Adult Kids,5+,3+,41
19-24,B,35-49K,Homeowner,2 Adults Kids,4,1,42
55-64,B,75-99K,Homeowner,Single Male,5+,3+,43
45-54,U,100-124K,Homeowner,Single Male,2,3+,44
55-64,U,200-249K,Renter,Single Female,1,3+,45
65+,B,125-149K,Homeowner,Unknown,5+,3+,46
55-64,U,Under 15K,Probable Renter,Single Female,5+,3+,47
65+,U,35-49K,Probable Renter,Single Male,5+,3+,48
25-34,U,75-99K,Renter,2 Adults Kids,2,None/Unknown,49
25-34,A,200-249K,Probable Owner,Single Female,4,1,50
65+,B,250K+,Homeowner,Unknown,1,3+,51
25-34,A,75-99K,Probable Renter,Single Female,4,2,52
35-44,B,35-49K,Probable Renter,Single Male,5+,2,53
55-64,U,150-174K,Renter,Single Male,4,1,54
25-34,U,150-174K,Renter,Single Female,3,1,55
25-34,A,75-99K,Probable Owner,2 Adults Kids,5+,2,56
25-34,B,Under 15K,Renter,1 Adult Kids,3,2,57
35-44,B,25-34K,Unknown,Unknown,4,None/Unknown,58
19-24,B,125-149K,Renter,2 Adults Kids,4,2,59
25-34,A,Under 15K,Renter,1 Adult Kids,5+,None/Unknown,60
35-44,B,25-34K,Probable Renter,1 Adult Kids,2,2,61
19-24,U,175-199K,Homeowner,1 Adult Kids,1,3+,62
45-54,A,25-34K,Probable Owner,1 Adult Kids,5+,2,63
65+,B,250K+,Probable Owner,2 Adults No Kids,4,2,64
55-64,B,200-249K,Probable Renter,1 Adult Kids,2,None/Unknown,65
45-54,U,100-124K,Probable Renter,Single Female,1,1,66
25-34,A,100-124K,Homeowner,Single Female,4,2,67
19-24,B,100-124K,Unknown,Single Female,3,3+,68
45-54,U,200-249K,Probable Renter,1 Adult Kids,1,1,69
55-64,U,250K+,Unknown,2 Adults Kids,3,2,70
25-34,A,75-99K,Homeowner,1 Adult Kids,4,1,71
19-24,B,15-24K,Probable Renter,Single Male,2,2,72
19-24,B,15-24K,Unknown,Single Male,2,None/Unknown,73
25-34,U,50-74K,Probable Renter,2 Adults Kids,2,None/Unknown,74
19-24,B,250K+,Renter,2 Adults No Kids,4,2,75
55-64,U,25-34K,Homeowner,Single Male,1,2,76
45-54,A,150-174K,Probable Renter,Single Female,4,2,77
19-24,U,250K+,Homeowner,Single Male,2,2,78
65+,B,150-174K,Homeowner,2 Adults Kids,4,None/Unknown,79
55-64,U,125-149K,Homeowner,Unknown,4,1,80
35-44,B,100-124K,Renter,Unknown,5+,None/Unknown,81
65+,B,175-199K,Probable Renter,1 Adult Kids,4,3+,82
25-34,U,100-124K,Unknown,1 Adult Kids,4,1,83
65+,U,15-24K,Probable Owner,Single Female,3,2,84
35-44,A,200-249K,Homeowner,Single Female,4,1,85
65+,U,35-49K,Homeowner,Unknown,1,2,86
35-44,U,150-174K,Probable Renter,1 Adult Kids,4,None/Unknown,87
25-34,U,35-49K,Unknown,1 Adult Kids,3,1,88
55-64,A,150-174K,Renter,Single Female,1,None/Unknown,89
19-24,B,175-199K,Homeowner,Single Female,3,2,90
65+,B,35-49K,Homeowner,Single Female,2,None/Unknown,91
19-24,B,35-49K,Probable Owner,2 Adults No Kids,4,None/Unknown,92
65+,B,200-249K,Unknown,1 Adult Kids,3,None/Unknown,93
19-24,U,75-99K,Probable Owner,1 Adult Kids,1,2,94
19-24,A,100-124K,Renter,Unknown,1,3+,95
45-54,U,25-34K,Unknown,1 Adult Kids,3,3+,96
65+,A,125-149K,Probable Renter,2 Adults Kids,5+,None/Unknown,97
25-34,B,15-24K,Homeowner,Single Male,1,1,98
45-54,A,25-34K,Probable Renter,2 Adults Kids,3,2,99
65+,U,125-149K,Probable Renter,Unknown,3,2,100
45-54,U,175-199K,Homeowner,Single Male,2,2,101
45-54,A,15-24K,Probable Renter,2 Adults Kids,5+,2,102
35-44,A,Under 15K,Unknown,Single Female,2,None/Unknown,103
65+,U,100-124K,Probable Owner,Unknown,4,1,104
19-24,U,75-99K,Probable Renter,Unknown,1,2,105
45-54,B,15-24K,Renter,Single Female,4,3+,106
25-34,U,35-49K,Probable Owner,2 Adults Kids,3,1,107
25-34,A,250K+,Unknown,2 Adults No Kids,5+,2,108
45-54,B,25-34K,Renter,2 Adults Kids,4,3+,109
25-34,B,250K+,Unknown,2 Adults Kids,1,3+,110
45-54,A,15-24K,Unknown,2 Adults No Kids,1,3+,111
65+,B,15-24K,Probable Owner,1 Adult Kids,4,2,112
25-34,U,250K+,Renter,2 Adults No Kids,2,3+,113
45-54,U,200-249K,Renter,2 Adults Kids,3,3+,114
45-54,U,35-49K,Renter,2 Adults No Kids,5+,1,115
19-24,B,50-74K,Unknown,2 Adults No Kids,3,1,116
25-34,U,100-124K,Renter,2 Adults Kids,1,2,117
55-64,U,50-74K,Probable Renter,2 Adults Kids,5+,1,118
19-24,B,125-149K,Probable Owner,Unknown,3,2,119
