PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
556416,110,MEAT,PRIVATE,VEGETABLES - CANNED,POTATO,100G
438180,855,FROZEN,NATIONAL,BREAD/BAKED GOODS,CORN,500ML
199962,404,GROCERY,PREMIUM,SNACKS,POTATO,2 LB
884149,874,BEVERAGES,GENERIC,SOFT DRINKS,SPAGHETTI,1 LB
988157,932,FROZEN,PRIVATE,BREAD/BAKED GOODS,CHOCOLATE CHIP,16 OZ
460743,149,DAIRY,ORGANIC,BEEF,LASAGNA,1 GAL
863466,508,FROZEN,PRIVATE,COOKIES,GREEK,16 OZ
543005,795,BAKERY,PRIVATE,SNACKS,SPAGHETTI,1 GAL
253241,200,BEVERAGES,PRIVATE,BEEF,CRACKERS,6 PK
317765,648,FLORAL,PRIVATE,FROZEN MEALS,GROUND,500ML
984552,939,MEAT,PRIVATE,BREAD/BAKED GOODS,BONELESS,1 LB
980085,158,PRODUCE,ORGANIC,VEGETABLES - CANNED,POTATO,6 PK
653987,189,BAKERY,GENERIC,BREAD/BAKED GOODS,DIET,1 GAL
623304,236,FLORAL,ORGANIC,CHICKEN,CHOCOLATE CHIP,500ML
152212,296,FROZEN,PRIVATE,YOGURT,LASAGNA,1 GAL
821931,268,BAKERY,GENERIC,BREAD/BAKED GOODS,CORN,250G
604440,770,MEAT,GENERIC,BREAD/BAKED GOODS,WHOLE MILK,6 PK
800638,758,DAIRY,ORGANIC,SOFT DRINKS,CORN,1 LB
919552,113,PRODUCE,GENERIC,CHEESE,CORN,32 OZ
106972,448,BAKERY,NATIONAL,FLUID MILK PRODUCTS,CHOCOLATE CHIP,16 OZ
324652,829,DAIRY,NATIONAL,BREAD/BAKED GOODS,BONELESS,1 GAL
313894,829,FROZEN,PRIVATE,VEGETABLES - CANNED,CORN,1 GAL
555295,105,BEAUTY,PRIVATE,COOKIES,WHOLE MILK,500ML
695886,770,PRODUCE,NATIONAL,SOFT DRINKS,SPAGHETTI,250G
264528,670,GROCERY,NATIONAL,BEEF,SALTED,32 OZ
270564,621,BEVERAGES,PREMIUM,SNACKS,DIET,100G
808539,622,PRODUCE,PREMIUM,BEEF,GROUND BEEF,6 PK
904799,375,PRODUCE,ORGANIC,PASTA,LASAGNA,1 LB
378673,988,FROZEN,STORE BRAND,SOFT DRINKS,WHITE BREAD,250G
821900,862,BEVERAGES,GENERIC,SOFT DRINKS,LASAGNA,100G
701813,612,MEAT,NATIONAL,VEGETABLES - CANNED,GROUND,12 PK
882059,980,FLORAL,STORE BRAND,PASTA,BONELESS,1 LB
425711,77,GROCERY,NATIONAL,FLUID MILK PRODUCTS,GREEK,32 OZ
570312,577,FLORAL,PREMIUM,FROZEN MEALS,WHOLE MILK,100G
824423,780,DAIRY,GENERIC,CHICKEN,GROUND,2 LB
258296,707,DELI,PRIVATE,BEEF,DIET,1 LB
666349,499,BEAUTY,NATIONAL,PASTA,WHITE BREAD,100G
888109,594,HEALTH,STORE BRAND,SOFT DRINKS,BONELESS,100G
799772,895,HEALTH,ORGANIC,FLUID MILK PRODUCTS,CRACKERS,250G
500957,478,HEALTH,ORGANIC,CHIPS,CHOCOLATE CHIP,6 PK
