household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC
8669,53299343,141,378595,7,50.33,212,3.09,2173,29,0.09,0.64
8605,21571600,366,206426,5,103.1,111,4.19,635,41,1.73,0.24
2770,83771585,353,770125,4,191.28,186,1.25,668,69,0.56,0.31
3280,28463465,165,435646,2,26.74,356,4.01,2120,88,1.39,0.69
763,38448820,391,324132,5,73.5,283,1.67,1050,96,0.96,0.3
3445,53666260,434,448183,6,282.78,361,2.66,1468,65,0.15,0.2
9366,60921824,197,603546,9,184.32,313,1.76,735,50,1.76,0.84
4653,69271592,684,275708,1,32.19,34,3.43,1473,76,1.4,0.55
4513,60073772,330,800749,3,60.33,378,2.41,792,50,1.49,0.61
7087,91567383,423,127542,5,5.6,266,1.4,1945,74,0.13,0.04
1770,24775293,89,587386,4,146.24,496,2.69,2056,49,0.65,0.59
5180,89395585,572,839277,5,98.65,154,0.81,1248,102,1.94,0.66
6923,66399755,140,398862,5,168.6,401,3.24,1303,90,1.34,0.09
4018,35198280,125,391954,2,97.68,245,0.09,1915,2,1.48,0.79
7188,12312290,552,326073,7,263.62,183,2.44,2009,5,0.74,0.03
5502,34497004,274,517888,3,114.24,232,0.44,1536,75,1.76,0.12
5065,59546641,459,782738,6,11.64,57,4.76,1955,6,1.29,0.14
1382,75079065,28,480060,10,257.2,185,2.38,1141,72,0.64,0.72
4146,14542707,67,275914,9,420.21,496,2.1,1190,63,0.31,0.0
8506,84669679,538,701054,1,44.13,440,4.39,1190,95,0.56,0.63
6864,43825390,89,533886,4,66.4,500,4.5,1274,68,1.11,0.16
6599,64801926,44,915204,5,177.05,388,1.72,1690,16,0.19,0.06
245,38986287,20,627124,5,35.35,193,1.61,1957,93,1.22,0.46
7202,29563429,286,672191,6,22.62,469,4.23,1198,36,0.53,0.36
269,26980304,92,947539,5,152.6,91,3.82,1838,22,1.36,0.32
3651,94621418,254,279838,3,31.2,103,4.48,1929,81,0.22,0.05
5331,99984226,338,909227,7,240.66,312,3.42,616,34,0.12,0.63
5282,32163993,547,329423,1,48.69,346,3.02,748,65,1.63,0.9
4585,70576392,586,330399,4,177.04,319,2.06,2158,19,1.04,0.7
6196,93654547,433,819595,8,69.6,116,0.69,1819,36,0.75,0.52
1969,72821078,367,298589,4,31.8,321,4.11,1819,16,0.92,0.54
4128,87891783,170,240039,9,262.17,31,2.79,643,71,0.09,0.72
5663,41836609,452,504881,5,44.25,362,2.45,1058,26,1.45,0.74
8945,63397202,433,602628,10,324.1,51,2.56,1728,63,1.74,0.16
8747,97668466,52,763131,3,118.29,5,4.82,990,8,1.29,0.34
7818,23899681,539,346740,10,168.0,318,4.22,1538,42,1.35,0.81
9889,58481365,266,868492,1,46.92,173,2.87,1287,52,0.13,0.26
9111,42321700,97,425711,8,245.44,54,2.41,1864,44,1.17,1.0
4186,94241181,407,833277,9,298.8,242,4.58,944,55,1.68,0.6
4126,91464160,642,557099,9,324.54,384,3.54,840,1,0.14,0.99
214,92134098,101,989461,3,141.6,14,1.75,1349,91,0.04,0.37
7550,12199034,576,982835,1,41.3,434,2.92,1643,102,0.58,0.41
529,54184156,418,994601,7,39.41,393,0.85,1716,98,0.13,0.62
2309,60984553,312,793014,7,266.49,91,0.22,1387,88,1.85,0.97
2037,81623185,685,465900,4,130.76,113,3.09,1324,73,1.04,0.65
3709,37102078,44,364973,3,6.27,74,0.65,1130,56,1.74,0.82
5023,49786377,581,917576,3,125.76,7,0.51,2036,45,1.78,0.23
4238,67849876,346,175628,1,43.43,358,4.05,1989,82,1.62,0.03
234,27281100,357,238994,3,116.76,299,2.93,951,64,0.09,0.77
1254,78944187,188,799736,4,171.0,317,0.34,1043,50,0.19,0.57
9451,33477043,532,801428,2,57.14,3,2.9,1279,101,1.92,0.8
2573,44601141,436,806027,2,53.64,205,2.05,1750,99,0.18,0.33
7317,63754270,17,171688,10,104.4,57,3.34,1136,22,0.97,0.37
3959,86440550,94,582062,7,256.83,433,4.49,1350,11,0.51,0.88
9150,33973761,63,151924,6,9.0,151,0.03,695,36,1.99,0.26
8115,51719421,468,390792,2,71.0,496,0.92,1682,3,0.51,0.9
1186,16771887,394,707129,10,254.6,459,1.64,942,63,1.34,0.4
599,11288222,102,285746,3,43.77,411,2.74,738,44,1.12,0.59
818,43387792,390,848461,4,193.4,12,0.32,1376,10,1.84,0.53
1894,47931332,179,980220,1,41.53,12,2.29,1197,46,0.16,0.5
2200,16734331,383,873014,7,170.38,151,0.28,2197,83,0.27,0.32
4441,13743769,274,244382,2,60.48,39,3.03,2109,3,1.98,0.05
2535,83816074,673,831072,1,28.24,384,1.11,2152,10,0.62,0.49
6872,49224798,217,617934,7,126.56,112,4.98,1119,39,1.34,0.86
9741,29467646,602,374302,7,38.01,66,4.88,1595,45,0.73,0.34
6158,19126409,457,223377,4,197.48,60,0.77,1582,67,1.75,0.85
5648,73866710,30,328259,3,142.35,118,3.27,1167,29,0.4,0.0
1180,35228561,83,579916,6,208.44,66,3.69,2056,71,1.55,0.72
6841,45108480,138,383999,6,190.56,277,2.05,1597,80,0.12,0.83
3758,82834254,23,359530,1,43.94,64,0.6,2054,57,0.82,0.07
1233,77411496,233,342488,9,347.76,351,2.13,759,6,1.45,0.35
4952,49645613,123,723038,7,79.17,135,1.19,1130,89,1.91,0.74
8555,68564269,132,821102,4,112.32,452,3.87,1706,93,1.07,0.56
6252,28825726,527,917406,2,42.98,498,2.89,1726,102,1.52,0.17
6365,69163787,46,642466,10,313.9,180,2.21,1858,55,1.61,0.55
8572,50752422,622,396145,6,137.76,22,1.56,1913,81,1.68,0.02
1724,19288271,419,818021,4,158.2,409,4.28,1181,99,0.17,0.36
8150,52553282,615,679885,1,28.46,490,1.13,1195,7,0.44,0.2
9255,87668260,316,561464,2,46.74,189,3.58,998,68,0.94,0.69
2216,91015405,559,506214,9,376.11,343,0.18,939,100,0.65,0.21
9780,74568589,53,740660,8,352.64,310,3.94,1667,55,1.84,0.49
5376,37307399,708,780915,1,24.41,482,2.05,1913,33,1.46,0.49
3822,77588506,124,664470,2,6.82,344,4.09,1354,73,1.79,0.85
6275,77079179,584,910562,2,93.6,141,0.19,943,49,0.12,0.31
9212,69552050,397,637239,4,141.04,59,4.07,1798,13,0.26,0.5
3391,30709674,232,605777,4,132.4,300,0.04,929,13,1.47,0.93
1553,50629366,163,634472,5,109.45,411,0.3,1032,50,1.43,0.39
8834,48217940,158,630066,3,116.16,374,1.89,1817,75,1.34,0.51
4735,73639011,20,151366,9,422.91,265,1.44,900,35,1.87,0.44
3018,78685864,152,105517,8,182.72,121,2.68,1852,35,0.31,0.43
4773,74659199,309,985104,10,348.4,169,2.52,1345,11,0.78,0.45
5485,59432103,479,961889,8,33.52,285,1.48,1900,89,0.98,0.93
4167,54607745,109,888471,6,105.78,286,2.75,1016,99,0.11,0.84
3994,13743769,657,554313,7,225.89,320,0.24,2100,97,0.59,0.32
3345,20158481,332,952625,7,93.59,476,2.93,837,50,1.69,0.23
7434,68564269,290,882059,7,331.59,120,0.38,1717,12,0.81,0.94
9025,45381581,186,741726,7,290.15,393,0.38,882,69,0.74,0.53
515,64977974,602,386039,6,98.28,18,0.7,2152,71,0.46,0.75
3542,44195462,685,126774,2,2.24,285,3.58,1967,86,0.7,0.58
9042,21153801,641,740618,2,25.92,139,0.19,1832,97,0.51,0.51
